year,st,stateno,state,banfaninc,healthspendpc,govparty_a,sen_cont_alt,hs_cont_alt,hou_chamber,sen_chamber
1900,AL,1,Alabama,,,,,,,
1900,AK,2,Alaska,,,,,,,
1900,AZ,3,Arizona,,,,,,,
1900,AR,4,Arkansas,,,,,,,
1900,CA,5,California,,,,,,,
1900,CO,6,Colorado,,,,,,,
1900,CT,7,Connecticut,,,,,,,
1900,DE,8,Delaware,,,,,,,
1900,DC,8.5,District of Columbia,,,,,,,
1900,FL,9,Florida,,,,,,,
1900,GA,10,Georgia,,,,,,,
1900,HI,11,Hawaii,,,,,,,
1900,ID,12,Idaho,,,,,,,
1900,IL,13,Illinois,,,,,,,
1900,IN,14,Indiana,,,,,,,
1900,IA,15,Iowa,,,,,,,
1900,KS,16,Kansas,,,,,,,
1900,KY,17,Kentucky,,,,,,,
1900,LA,18,Louisiana,,,,,,,
1900,ME,19,Maine,,,,,,,
1900,MD,20,Maryland,,,,,,,
1900,MA,21,Massachusetts,,,,,,,
1900,MI,22,Michigan,,,,,,,
1900,MN,23,Minnesota,,,,,,,
1900,MS,24,Mississippi,,,,,,,
1900,MO,25,Missouri,,,,,,,
1900,MT,26,Montana,,,,,,,
1900,NE,27,Nebraska,,,,,,,
1900,NV,28,Nevada,,,,,,,
1900,NH,29,New Hampshire,,,,,,,
1900,NJ,30,New Jersey,,,,,,,
1900,NM,31,New Mexico,,,,,,,
1900,NY,32,New York,,,,,,,
1900,NC,33,North Carolina,,,,,,,
1900,ND,34,North Dakota,,,,,,,
1900,OH,35,Ohio,,,,,,,
1900,OK,36,Oklahoma,,,,,,,
1900,OR,37,Oregon,,,,,,,
1900,PA,38,Pennsylvania,,,,,,,
1900,RI,39,Rhode Island,,,,,,,
1900,SC,40,South Carolina,,,,,,,
1900,SD,41,South Dakota,,,,,,,
1900,TN,42,Tennessee,,,,,,,
1900,TX,43,Texas,,,,,,,
1900,UT,44,Utah,,,,,,,
1900,VT,45,Vermont,,,,,,,
1900,VA,46,Virginia,,,,,,,
1900,WA,47,Washington,,,,,,,
1900,WV,48,West Virginia,,,,,,,
1900,WI,49,Wisconsin,,,,,,,
1900,WY,50,Wyoming,,,,,,,
1901,AL,1,Alabama,,,,,,,
1901,AK,2,Alaska,,,,,,,
1901,AZ,3,Arizona,,,,,,,
1901,AR,4,Arkansas,,,,,,,
1901,CA,5,California,,,,,,,
1901,CO,6,Colorado,,,,,,,
1901,CT,7,Connecticut,,,,,,,
1901,DE,8,Delaware,,,,,,,
1901,DC,8.5,District of Columbia,,,,,,,
1901,FL,9,Florida,,,,,,,
1901,GA,10,Georgia,,,,,,,
1901,HI,11,Hawaii,,,,,,,
1901,ID,12,Idaho,,,,,,,
1901,IL,13,Illinois,,,,,,,
1901,IN,14,Indiana,,,,,,,
1901,IA,15,Iowa,,,,,,,
1901,KS,16,Kansas,,,,,,,
1901,KY,17,Kentucky,,,,,,,
1901,LA,18,Louisiana,,,,,,,
1901,ME,19,Maine,,,,,,,
1901,MD,20,Maryland,,,,,,,
1901,MA,21,Massachusetts,,,,,,,
1901,MI,22,Michigan,,,,,,,
1901,MN,23,Minnesota,,,,,,,
1901,MS,24,Mississippi,,,,,,,
1901,MO,25,Missouri,,,,,,,
1901,MT,26,Montana,,,,,,,
1901,NE,27,Nebraska,,,,,,,
1901,NV,28,Nevada,,,,,,,
1901,NH,29,New Hampshire,,,,,,,
1901,NJ,30,New Jersey,,,,,,,
1901,NM,31,New Mexico,,,,,,,
1901,NY,32,New York,,,,,,,
1901,NC,33,North Carolina,,,,,,,
1901,ND,34,North Dakota,,,,,,,
1901,OH,35,Ohio,,,,,,,
1901,OK,36,Oklahoma,,,,,,,
1901,OR,37,Oregon,,,,,,,
1901,PA,38,Pennsylvania,,,,,,,
1901,RI,39,Rhode Island,,,,,,,
1901,SC,40,South Carolina,,,,,,,
1901,SD,41,South Dakota,,,,,,,
1901,TN,42,Tennessee,,,,,,,
1901,TX,43,Texas,,,,,,,
1901,UT,44,Utah,,,,,,,
1901,VT,45,Vermont,,,,,,,
1901,VA,46,Virginia,,,,,,,
1901,WA,47,Washington,,,,,,,
1901,WV,48,West Virginia,,,,,,,
1901,WI,49,Wisconsin,,,,,,,
1901,WY,50,Wyoming,,,,,,,
1902,AL,1,Alabama,,,,,,,
1902,AK,2,Alaska,,,,,,,
1902,AZ,3,Arizona,,,,,,,
1902,AR,4,Arkansas,,,,,,,
1902,CA,5,California,,,,,,,
1902,CO,6,Colorado,,,,,,,
1902,CT,7,Connecticut,,,,,,,
1902,DE,8,Delaware,,,,,,,
1902,DC,8.5,District of Columbia,,,,,,,
1902,FL,9,Florida,,,,,,,
1902,GA,10,Georgia,,,,,,,
1902,HI,11,Hawaii,,,,,,,
1902,ID,12,Idaho,,,,,,,
1902,IL,13,Illinois,,,,,,,
1902,IN,14,Indiana,,,,,,,
1902,IA,15,Iowa,,,,,,,
1902,KS,16,Kansas,,,,,,,
1902,KY,17,Kentucky,,,,,,,
1902,LA,18,Louisiana,,,,,,,
1902,ME,19,Maine,,,,,,,
1902,MD,20,Maryland,,,,,,,
1902,MA,21,Massachusetts,,,,,,,
1902,MI,22,Michigan,,,,,,,
1902,MN,23,Minnesota,,,,,,,
1902,MS,24,Mississippi,,,,,,,
1902,MO,25,Missouri,,,,,,,
1902,MT,26,Montana,,,,,,,
1902,NE,27,Nebraska,,,,,,,
1902,NV,28,Nevada,,,,,,,
1902,NH,29,New Hampshire,,,,,,,
1902,NJ,30,New Jersey,,,,,,,
1902,NM,31,New Mexico,,,,,,,
1902,NY,32,New York,,,,,,,
1902,NC,33,North Carolina,,,,,,,
1902,ND,34,North Dakota,,,,,,,
1902,OH,35,Ohio,,,,,,,
1902,OK,36,Oklahoma,,,,,,,
1902,OR,37,Oregon,,,,,,,
1902,PA,38,Pennsylvania,,,,,,,
1902,RI,39,Rhode Island,,,,,,,
1902,SC,40,South Carolina,,,,,,,
1902,SD,41,South Dakota,,,,,,,
1902,TN,42,Tennessee,,,,,,,
1902,TX,43,Texas,,,,,,,
1902,UT,44,Utah,,,,,,,
1902,VT,45,Vermont,,,,,,,
1902,VA,46,Virginia,,,,,,,
1902,WA,47,Washington,,,,,,,
1902,WV,48,West Virginia,,,,,,,
1902,WI,49,Wisconsin,,,,,,,
1902,WY,50,Wyoming,,,,,,,
1903,AL,1,Alabama,,,,,,,
1903,AK,2,Alaska,,,,,,,
1903,AZ,3,Arizona,,,,,,,
1903,AR,4,Arkansas,,,,,,,
1903,CA,5,California,,,,,,,
1903,CO,6,Colorado,,,,,,,
1903,CT,7,Connecticut,,,,,,,
1903,DE,8,Delaware,,,,,,,
1903,DC,8.5,District of Columbia,,,,,,,
1903,FL,9,Florida,,,,,,,
1903,GA,10,Georgia,,,,,,,
1903,HI,11,Hawaii,,,,,,,
1903,ID,12,Idaho,,,,,,,
1903,IL,13,Illinois,,,,,,,
1903,IN,14,Indiana,,,,,,,
1903,IA,15,Iowa,,,,,,,
1903,KS,16,Kansas,,,,,,,
1903,KY,17,Kentucky,,,,,,,
1903,LA,18,Louisiana,,,,,,,
1903,ME,19,Maine,,,,,,,
1903,MD,20,Maryland,,,,,,,
1903,MA,21,Massachusetts,,,,,,,
1903,MI,22,Michigan,,,,,,,
1903,MN,23,Minnesota,,,,,,,
1903,MS,24,Mississippi,,,,,,,
1903,MO,25,Missouri,,,,,,,
1903,MT,26,Montana,,,,,,,
1903,NE,27,Nebraska,,,,,,,
1903,NV,28,Nevada,,,,,,,
1903,NH,29,New Hampshire,,,,,,,
1903,NJ,30,New Jersey,,,,,,,
1903,NM,31,New Mexico,,,,,,,
1903,NY,32,New York,,,,,,,
1903,NC,33,North Carolina,,,,,,,
1903,ND,34,North Dakota,,,,,,,
1903,OH,35,Ohio,,,,,,,
1903,OK,36,Oklahoma,,,,,,,
1903,OR,37,Oregon,,,,,,,
1903,PA,38,Pennsylvania,,,,,,,
1903,RI,39,Rhode Island,,,,,,,
1903,SC,40,South Carolina,,,,,,,
1903,SD,41,South Dakota,,,,,,,
1903,TN,42,Tennessee,,,,,,,
1903,TX,43,Texas,,,,,,,
1903,UT,44,Utah,,,,,,,
1903,VT,45,Vermont,,,,,,,
1903,VA,46,Virginia,,,,,,,
1903,WA,47,Washington,,,,,,,
1903,WV,48,West Virginia,,,,,,,
1903,WI,49,Wisconsin,,,,,,,
1903,WY,50,Wyoming,,,,,,,
1904,AL,1,Alabama,,,,,,,
1904,AK,2,Alaska,,,,,,,
